rep,Method,Item,Accuracy
6,Mode,Irritable towards baby & partner,0.2608695652173913
6,Mode,Trouble sleeping at night,0.4
6,Mode,Problems concentrating or making decision,0.18181818181818182
6,Mode,Overeating or loss of appetite,0.7352941176470589
6,Mode,Feeling anxious,0.6666666666666666
6,Mode,Feeling of guilt,0.3684210526315789
6,Mode,Problems of bonding with baby,0.15
6,"KNN (Hamming, k=7)",Age,0.34782608695652173
6,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.34615384615384615
6,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.5217391304347826
6,"KNN (Hamming, k=7)",Trouble sleeping at night,0.44
6,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.45454545454545453
6,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.6764705882352942
6,"KNN (Hamming, k=7)",Feeling anxious,0.6666666666666666
6,"KNN (Hamming, k=7)",Feeling of guilt,0.42105263157894735
6,"KNN (Hamming, k=7)",Problems of bonding with baby,0.25
6,MICE (logistic),Age,0.2608695652173913
6,MICE (logistic),Feeling sad or Tearful,0.3076923076923077
6,MICE (logistic),Irritable towards baby & partner,0.391304347826087
6,MICE (logistic),Trouble sleeping at night,0.56
6,MICE (logistic),Problems concentrating or making decision,0.5
6,MICE (logistic),Overeating or loss of appetite,0.7058823529411765
6,MICE (logistic),Feeling anxious,0.9047619047619048
6,MICE (logistic),Feeling of guilt,0.5263157894736842
6,MICE (logistic),Problems of bonding with baby,0.2
6,MICE (random forest),Age,0.13043478260869565
6,MICE (random forest),Feeling sad or Tearful,0.23076923076923078
6,MICE (random forest),Irritable towards baby & partner,0.43478260869565216
6,MICE (random forest),Trouble sleeping at night,0.52
6,MICE (random forest),Problems concentrating or making decision,0.4090909090909091
6,MICE (random forest),Overeating or loss of appetite,0.6176470588235294
6,MICE (random forest),Feeling anxious,0.8095238095238095
6,MICE (random forest),Feeling of guilt,0.42105263157894735
6,MICE (random forest),Problems of bonding with baby,0.45
6,Iterative MCA (2 dims),Age,0.30434782608695654
6,Iterative MCA (2 dims),Feeling sad or Tearful,0.23076923076923078
6,Iterative MCA (2 dims),Irritable towards baby & partner,0.30434782608695654
6,Iterative MCA (2 dims),Trouble sleeping at night,0.36
6,Iterative MCA (2 dims),Problems concentrating or making decision,0.45454545454545453
6,Iterative MCA (2 dims),Overeating or loss of appetite,0.6764705882352942
6,Iterative MCA (2 dims),Feeling anxious,0.7142857142857143
